type,Featureid,Longitude,Latitude,FeatureName
Point,3000151,48.5913248,37.9916566,Храм Всех Святых
Point,7676,50.4994829,30.622221,Храм Всех святых (на Лесном кладбище)
Point,9626,48.5010905,34.6315332,Храм Георгия Победоносца г.Каменское
Point,26193,48.0377684,38.6259024,Храм Державной иконы Божией Матери
Point,28069,48.5416375,39.2710531,Храм Димитрия Солунского&#044; г.Луганск (Свято-Димитриевский храм)
Point,31729,48.5415823,39.2710825,Храм Димитрия Солунского&#044; г.Луганск (Свято-Димитриевский храм)
Point,28659,45.3562,36.467352,Храм Жен-Мироносиц  Керчь&#044; район Войкого
Point,22934,50.561781,30.210011,храм иконы Божией Матери &quot;Почаевская&quot; (г.Буча)
Point,6277,50.5091065,30.5099107,Храм иконы Божией Матери «В родах Помощница» (в 4‑м роддоме&#044; на Оболони)
Point,7675,50.4881207,30.3931591,Храм иконы Божией Матери «Всех скорбящих Радосте» (на кладбище Берковцы)
Point,7462,50.4763597,30.458994,Храм иконы Божией Матери «Всех скорбящих радость» (в Бабьем Яру)
Point,32696,48.7549415,34.8982501,Храм Иконы Божией Матери «Неопалимая Купина»
Point,27068,44.959917,35.236669,Храм иконы Божией Матери «Утоли моя печали»   Коктебель
Point,7060,50.4624106,30.4579626,Храм иконы Божией Матери Боголюбской
Point,23511,46.7183414,33.2973818,храм иконы Пресвятой Богородицы Живоносный Источник
Point,23838,49.9391694,36.4082643,Храм Иоанна Златоуста&#044; Харьков
Point,5170,48.206355,37.726107,Храм Казанской иконы Божией Матери пос.Красногоровка
Point,5264,48.0931226,37.605257,Храм Казанской иконы Божией Матери пос.Первомайское
Point,27512,48.99121,27.50883,Храм Казанської ікони Божої Матері
Point,28354,51.9593412,34.0671229,Храм Крестителя Господня Иоанна
Point,8110,50.5489171,30.3633142,Храм мученика Іоанна Воїна
Point,7564,50.4259195,30.6361185,Храм мц.Раисы Александрийской (на Дарницком кладбище)
Point,7452,50.5286,30.5182166,Храм мц.Татьяны (на Оболони)
Point,27911,50.3802439,31.4362652,Храм на честь великомученика Пентелеймона села Бакумівка
Point,187,50.5061916,30.8286583,Храм на честь вмч. Димитрія Солунського
Point,4457,50.5825671,30.4881481,Храм на честь вмч. Пантелеімона м. Вишгород
Point,4320,50.0792599,31.2738924,Храм на честь Воздвиження Хреста Господнього с. Дівички
Point,4319,50.1112464,31.410326,Храм на честь Воздвиження Хреста Господнього с. Дем’янці
Point,3885,50.5739286,30.6693552,Храм на честь Воскресіння Христового с. Зазимє
Point,4344,50.0767328,31.4655476,Храм на честь Пресвятої Трійці м. Переяслав-Хмельницький
Point,4318,50.1248109,31.482799,Храм на честь св. Іоанна Богослова с. Гайшин
Point,4486,50.3156745,31.2158447,Храм на честь свт. Миколая Чудотворця с. Бзів
Point,27130,50.940929,30.09694,Храм на честь святого апостола і євангеліста Луки села Вахiвка
Point,4331,50.1210098,31.2518311,Храм на честь святого Архістратига Михаїла с. Єрківці
Point,4345,50.2249989,31.4267173,Храм на честь святого Архістратига Михаїла с. Пристроми
Point,4371,50.2366686,30.7888792,Храм на честь святого Архістратига Михаїла с.Проців
Point,4339,50.068307,31.4624832,Храм на честь Успіння Божої Матері м. Переяслав-Хмельницький
Point,4258,50.3103646,32.0754358,Храм на честь Успіння Божої Матері с. Лемешівка
Point,7627,50.469399,30.453948,Храм новомучеников и исповедников Русских (на Лукьяновском кладбище)
Point,24594,48.1463054,23.1455317,Храм Олександра Невського
Point,27507,48.924577,27.555516,Храм Покрова Пресвятої Богородиці
Point,27516,48.861132,27.889042,Храм Покрова Пресвятої Богородиці
Point,27518,49.024747,27.608705,Храм Покрова Пресвятої Богородиці
Point,27521,49.054212,27.831308,Храм Покрова Пресвятої Богородиці
Point,27529,49.1525,27.798349,Храм Покрова Пресвятої Богородиці
Point,7710,50.5800926,30.2637766,Храм Покрова Пресвятой Богородицы
Point,22896,44.8310441,33.9444973,Храм Покрова Пресвятой Богородицы  пос. Почтовое
Point,5959,50.5010274,30.4460506,Храм Покрова Пресвятой Богородицы (на Приорке)
Point,380,44.4078805,34.002197,Храм Покрова Пресвятой Богородицы в поселке Симеиз
Point,4694,50.5938969,30.5727839,Храм Преображения Господня
Point,7453,50.5135201,30.4562391,Храм Преображения Господня (на Оболони)
Point,7468,50.468375,30.4693917,Храм Преображения Господня (при пенитенциарной службе)
Point,13547,49.6875018,30.5044655,Храм преподобного Агапита Печерского
Point,13914,50.5158408,30.4476683,Храм Преподобного Сергія Радонезького Чудотворця
Point,33149,44.57471,34.32133,Храм преподобномученика Антония в с. Лавровое
Point,5980,50.4666144,30.5243154,Храм пророка Илии (на Подоле)
Point,22961,50.180775,30.324869,Храм прп. Антонія і Феодосія м. Васильків
Point,27023,48.5222546,39.3593654,Храм прп. Нестора Летописца
Point,23500,46.5279372,32.5502573,Храм прп. Серафима Саровского
Point,28545,44.5934419,33.9157006,Храм прп. Серафима Саровского в селе Голубинка Бахчисарайского района Республики Крым
Point,4197,47.8180765,35.4553636,Храм прп. Сергия Радонежского&#044; село Новотаврическое
Point,4105,50.470276,30.472694,Храм прп. Феодора Освященного
Point,6306,50.5407055,30.3521311,Храм прп.Серафима Саровского (в Пуще-Водице)
Point,3000144,47.9441819,37.6079339,Храм прп.СЕРАФИМА-САРОВСКОГО.
Point,4480,50.6177175,30.6243332,Храм Різдва Божої Матері с. Новосілки
Point,24622,48.341522,25.962264,Храм Різдва Пресвятої Богородиці
Point,27511,48.97592,27.519772,Храм Різдва Пресвятої Богородиці
Point,27520,49.136859,27.63437,Храм Різдва Пресвятої Богородиці
Point,27525,48.96282,27.632016,Храм Різдва Пресвятої Богородиці
Point,27533,48.855133,27.801978,Храм Різдва Пресвятої Богородиці
Point,27534,48.98774,27.714185,Храм Різдва Пресвятої Богородиці
Point,32667,50.0382398,37.19998,храм Рождества Иоанна Предтечи
Point,22777,48.4844086,39.3924785,Храм Рождества Иоанна Предтечи  г.Луганск&#044; п. Видное дачный поселок Рассвет
Point,7630,50.423842,30.5534212,Храм Рождества Иоанна Предтечи (на Зверинецком кладбище)
Point,3000104,49.9039873,36.3985413,Храм Рождества Пресвятой Богородицы
Point,31565,46.3265573,30.5595982,Храм Рождества Христова
Point,6187,50.4925817,30.5256408,Храм Рождества Христова (на Оболони)
Point,7063,50.4756241,30.4349564,Храм Рождества Христова (на Сырце)
Point,32611,45.0089875,34.0507602,Храм Рождества Христова&#044; пос. Молодежное Симферопольский район
Point,32659,45.051316,34.128498,Храм св. блгв. кн. Александра Невского&#044; село Урожайное&#044; Симферопольский район
Point,4181,46.8458175,35.3689824,Храм св. мученицы Татианы
Point,18025,45.3502921,36.5701393,Храм Св.Блгв.Кн. Димитрия Донского
Point,7577,50.4064946,30.4776496,Храм св.Лазаря Четверодневного (на Совском кладбище)
Point,6260,50.5243388,30.4632438,Храм свв.Космы и Дамиана (при Диагностическом центре)
Point,6110,50.5434497,30.4872933,Храм свв.Царственных страстотерпцев (в 1-й детской больнице)
Point,32592,44.975579,34.096392,Храм свмч. свт. Вениамина&#044; митрополита Петроградского и Гдовского&#044; г. Симферополь
